symbol,isSpotTradingAllowed,isMarginTradingAllowed
BTCUSDT,True,True
ETHUSDT,True,True
BNBUSDT,True,True
NEOUSDT,True,True
LTCUSDT,True,True
QTUMUSDT,True,True
ADAUSDT,True,True
XRPUSDT,True,True
EOSUSDT,True,True
IOTAUSDT,True,True
XLMUSDT,True,True
ONTUSDT,True,True
TRXUSDT,True,True
ETCUSDT,True,True
ICXUSDT,True,True
NULSUSDT,True,True
VETUSDT,True,True
LINKUSDT,True,True
WAVESUSDT,True,True
ONGUSDT,True,False
HOTUSDT,True,True
ZILUSDT,True,True
ZRXUSDT,True,True
FETUSDT,True,False
BATUSDT,True,True
XMRUSDT,True,True
ZECUSDT,True,True
IOSTUSDT,True,True
CELRUSDT,True,True
DASHUSDT,True,True
OMGUSDT,True,False
THETAUSDT,True,True
ENJUSDT,True,True
MATICUSDT,True,True
ATOMUSDT,True,True
TFUELUSDT,True,True
ONEUSDT,True,True
FTMUSDT,True,True
ALGOUSDT,True,True
DOGEUSDT,True,True
DUSKUSDT,True,True
ANKRUSDT,True,True
WINUSDT,True,False
COSUSDT,True,True
COCOSUSDT,True,False
MTLUSDT,True,True
TOMOUSDT,True,True
PERLUSDT,True,False
DENTUSDT,True,True
KEYUSDT,True,False
DOCKUSDT,True,True
WANUSDT,True,False
FUNUSDT,True,False
CHZUSDT,True,True
BANDUSDT,True,True
BEAMUSDT,True,False
XTZUSDT,True,True
RENUSDT,True,True
RVNUSDT,True,True
HBARUSDT,True,True
NKNUSDT,True,True
STXUSDT,True,True
KAVAUSDT,True,True
ARPAUSDT,True,True
IOTXUSDT,True,True
RLCUSDT,True,True
CTXCUSDT,True,True
TROYUSDT,True,True
VITEUSDT,True,False
OGNUSDT,True,True
DREPUSDT,True,False
WRXUSDT,True,False
BTSUSDT,True,True
LSKUSDT,True,False
BNTUSDT,True,True
LTOUSDT,True,True
AIONUSDT,True,False
MBLUSDT,True,True
COTIUSDT,True,True
STPTUSDT,True,False
WTCUSDT,True,False
DATAUSDT,True,True
SOLUSDT,True,True
CTSIUSDT,True,True
HIVEUSDT,True,True
CHRUSDT,True,True
ARDRUSDT,True,False
MDTUSDT,True,False
STMXUSDT,True,True
KNCUSDT,True,True
LRCUSDT,True,True
PNTUSDT,True,False
COMPUSDT,True,True
SCUSDT,True,True
ZENUSDT,True,False
SNXUSDT,True,True
VTHOUSDT,True,False
DGBUSDT,True,True
SXPUSDT,True,True
MKRUSDT,True,True
DCRUSDT,True,False
STORJUSDT,True,True
MANAUSDT,True,True
YFIUSDT,True,False
BALUSDT,True,True
BLZUSDT,True,True
IRISUSDT,True,False
KMDUSDT,True,True
JSTUSDT,True,True
ANTUSDT,True,True
CRVUSDT,True,True
SANDUSDT,True,True
OCEANUSDT,True,True
NMRUSDT,True,True
DOTUSDT,True,True
LUNAUSDT,True,True
RSRUSDT,True,True
WNXMUSDT,True,False
TRBUSDT,True,True
SUSHIUSDT,True,True
YFIIUSDT,True,False
KSMUSDT,True,True
EGLDUSDT,True,True
DIAUSDT,True,True
RUNEUSDT,True,True
FIOUSDT,True,True
UMAUSDT,True,True
BELUSDT,True,True
WINGUSDT,True,True
UNIUSDT,True,True
OXTUSDT,True,True
SUNUSDT,True,True
AVAXUSDT,True,True
FLMUSDT,True,True
ORNUSDT,True,True
UTKUSDT,True,True
XVSUSDT,True,True
ALPHAUSDT,True,True
AAVEUSDT,True,True
NEARUSDT,True,True
FILUSDT,True,True
INJUSDT,True,True
AUDIOUSDT,True,True
CTKUSDT,True,True
AKROUSDT,True,True
AXSUSDT,True,True
HARDUSDT,True,True
STRAXUSDT,True,True
UNFIUSDT,True,True
ROSEUSDT,True,True
AVAUSDT,True,True
XEMUSDT,True,False
SKLUSDT,True,True
GRTUSDT,True,True
JUVUSDT,True,False
PSGUSDT,True,False
1INCHUSDT,True,True
REEFUSDT,True,True
OGUSDT,True,False
ATMUSDT,True,False
ASRUSDT,True,False
CELOUSDT,True,True
RIFUSDT,True,False
TRUUSDT,True,True
CKBUSDT,True,True
TWTUSDT,True,True
FIROUSDT,True,False
LITUSDT,True,True
SFPUSDT,True,True
DODOUSDT,True,True
CAKEUSDT,True,True
ACMUSDT,True,False
BADGERUSDT,True,True
FISUSDT,True,False
OMUSDT,True,True
PONDUSDT,True,True
DEGOUSDT,True,True
ALICEUSDT,True,True
LINAUSDT,True,True
PERPUSDT,True,False
CFXUSDT,True,False
AUTOUSDT,True,False
TKOUSDT,True,False
PUNDIXUSDT,True,True
TLMUSDT,True,True
BARUSDT,True,False
FORTHUSDT,True,False
BAKEUSDT,True,True
BURGERUSDT,True,True
SLPUSDT,True,True
SHIBUSDT,True,True
ICPUSDT,True,True
ARUSDT,True,True
POLSUSDT,True,True
MDXUSDT,True,True
MASKUSDT,True,True
LPTUSDT,True,True
XVGUSDT,True,False
ATAUSDT,True,False
GTCUSDT,True,True
ERNUSDT,True,True
KLAYUSDT,True,True
PHAUSDT,True,True
BONDUSDT,True,True
MLNUSDT,True,True
DEXEUSDT,True,False
C98USDT,True,True
CLVUSDT,True,True
QNTUSDT,True,True
FLOWUSDT,True,True
TVKUSDT,True,True
MINAUSDT,True,True
RAYUSDT,True,False
FARMUSDT,True,False
ALPACAUSDT,True,False
QUICKUSDT,True,True
MBOXUSDT,True,False
FORUSDT,True,False
REQUSDT,True,True
GHSTUSDT,True,False
WAXPUSDT,True,True
GNOUSDT,True,False
XECUSDT,True,True
ELFUSDT,True,False
DYDXUSDT,True,True
IDEXUSDT,True,True
VIDTUSDT,True,False
GALAUSDT,True,True
ILVUSDT,True,False
YGGUSDT,True,True
SYSUSDT,True,False
DFUSDT,True,False
FIDAUSDT,True,True
FRONTUSDT,True,False
CVPUSDT,True,False
AGLDUSDT,True,True
RADUSDT,True,True
BETAUSDT,True,True
RAREUSDT,True,False
LAZIOUSDT,True,True
CHESSUSDT,True,False
ADXUSDT,True,False
AUCTIONUSDT,True,True
DARUSDT,True,True
BNXUSDT,True,False
MOVRUSDT,True,False
CITYUSDT,True,False
ENSUSDT,True,True
KP3RUSDT,True,True
QIUSDT,True,True
PORTOUSDT,True,True
POWRUSDT,True,False
VGXUSDT,True,False
JASMYUSDT,True,True
AMPUSDT,True,False
PLAUSDT,True,False
PYRUSDT,True,True
RNDRUSDT,True,True
ALCXUSDT,True,False
SANTOSUSDT,True,True
